date,description,amount,source_account,raw_category
2025-04-01,Rent,-2382.62,Business Checking,Rent
2025-04-01,Insurance premium,-872.56,Business Checking,Insurance
2025-04-01,Client payment,3789.56,Operating Checking,Sales Income
2025-04-01,Retainer payment,1977.75,Checking,Sales Income
2025-04-02,Insurance premium,-799.33,Checking,Insurance
2025-04-02,Project deposit,7295.9,Operating Checking,Sales Income
2025-04-03,Ads spend,-335.01,Business Checking,Marketing
2025-04-03,Team lunch,-28.25,Business Checking,Meals
2025-04-03,Team lunch,-161.43,Business Checking,Meals
2025-04-04,Meals,-131.14,Operating Checking,Meals
2025-04-04,Materials,-454.39,Checking,Supplies
2025-04-04,Payroll,-3052.38,Business Checking,Payroll
2025-04-05,Hosting,-97.02,Operating Checking,Hosting
2025-04-05,Fuel,-134.33,Checking,Fuel
2025-04-05,Invoice paid,5614.24,Checking,Sales Income
2025-04-06,Cloud services,-305.51,Business Checking,Hosting
2025-04-07,Fuel,-214.57,Checking,Fuel
2025-04-07,Ads spend,-157.34,Business Checking,Marketing
2025-04-07,Project deposit,8572.84,Business Checking,Sales Income
2025-04-07,Fuel,-156.79,Operating Checking,Fuel
2025-04-08,Team lunch,-56.27,Checking,Meals
2025-04-08,Insurance premium,-785.6,Checking,Insurance
2025-04-08,Insurance premium,-566.1,Business Checking,Insurance
2025-04-08,Retainer payment,1371.13,Operating Checking,Sales Income
2025-04-09,Client payment,7947.53,Business Checking,Sales Income
2025-04-09,Project deposit,7012.34,Checking,Sales Income
2025-04-10,Shop supplies,-391.06,Operating Checking,Supplies
2025-04-10,Meals,-139.67,Business Checking,Meals
2025-04-11,Materials,-76.83,Operating Checking,Supplies
2025-04-11,Project deposit,7334.8,Business Checking,Sales Income
2025-04-11,Wages,-3910.21,Checking,Payroll
2025-04-11,Invoice paid,4440.92,Checking,Sales Income
2025-04-11,Insurance premium,-146.02,Business Checking,Insurance
2025-04-12,Materials,-172.76,Operating Checking,Supplies
2025-04-12,Meals,-158.62,Operating Checking,Meals
2025-04-13,Shop supplies,-519.58,Business Checking,Supplies
2025-04-13,Project deposit,8744.7,Checking,Sales Income
2025-04-14,Insurance premium,-761.49,Checking,Insurance
2025-04-14,Project deposit,8097.03,Business Checking,Sales Income
2025-04-14,Hosting,-177.85,Operating Checking,Hosting
2025-04-14,Gas,-213.3,Business Checking,Fuel
2025-04-14,Client payment,3023.81,Business Checking,Sales Income
2025-04-15,Client payment,6264.07,Checking,Sales Income
2025-04-15,Team lunch,-25.43,Business Checking,Meals
2025-04-17,Materials,-248.47,Business Checking,Supplies
2025-04-17,Retainer payment,6632.58,Business Checking,Sales Income
2025-04-17,Insurance premium,-210.57,Business Checking,Insurance
2025-04-17,Invoice paid,6989.7,Operating Checking,Sales Income
2025-04-18,Client payment,2680.51,Operating Checking,Sales Income
2025-04-18,Payroll run,-3164.77,Business Checking,Payroll
2025-04-18,Cloud services,-442.94,Business Checking,Hosting
2025-04-18,Retainer payment,3997.66,Operating Checking,Sales Income
2025-04-18,Insurance premium,-466.86,Operating Checking,Insurance
2025-04-18,Gas,-43.67,Checking,Fuel
2025-04-21,Shop supplies,-593.57,Checking,Supplies
2025-04-21,Invoice paid,2884.42,Operating Checking,Sales Income
2025-04-21,Software subscription,-387.03,Checking,Hosting
2025-04-21,Client payment,7240.07,Operating Checking,Sales Income
2025-04-22,Invoice paid,3994.29,Business Checking,Sales Income
2025-04-22,Invoice paid,7958.29,Checking,Sales Income
2025-04-22,Supplies,-335.62,Checking,Supplies
2025-04-23,Hosting,-144.47,Checking,Hosting
2025-04-23,Meals,-84.46,Business Checking,Meals
2025-04-24,Team lunch,-101.04,Business Checking,Meals
2025-04-24,Insurance premium,-726.85,Operating Checking,Insurance
2025-04-24,Marketing,-216.16,Business Checking,Marketing
2025-04-25,Shop supplies,-183.13,Business Checking,Supplies
2025-04-25,Payroll run,-1382.48,Operating Checking,Payroll
2025-04-25,Retainer payment,6754.79,Business Checking,Sales Income
2025-04-25,Team lunch,-32.81,Checking,Meals
2025-04-25,Hosting,-199.18,Checking,Hosting
2025-04-25,Retainer payment,5338.34,Business Checking,Sales Income
2025-04-26,Meals,-159.82,Operating Checking,Meals
2025-04-26,Client payment,4310.1,Operating Checking,Sales Income
2025-04-26,Hosting,-373.45,Business Checking,Hosting
2025-04-26,Insurance premium,-812.71,Operating Checking,Insurance
2025-04-27,Client payment,7531.8,Business Checking,Sales Income
2025-04-27,Hosting,-114.5,Business Checking,Hosting
2025-04-27,Meals,-167.29,Checking,Meals
2025-04-27,Gas,-211.25,Checking,Fuel
2025-04-28,Invoice paid,5157.82,Business Checking,Sales Income
2025-04-28,Team lunch,-35.17,Business Checking,Meals
2025-04-28,Client payment,3637.1,Business Checking,Sales Income
2025-04-28,Insurance premium,-797.11,Operating Checking,Insurance
2025-04-29,Materials,-512.18,Business Checking,Supplies
2025-04-29,Client payment,6464.82,Business Checking,Sales Income
2025-04-29,Project deposit,8446.86,Checking,Sales Income
2025-04-29,Shop supplies,-489.15,Business Checking,Supplies
2025-04-29,Gas,-65.44,Business Checking,Fuel
2025-04-30,Invoice paid,1247.63,Business Checking,Sales Income
2025-04-30,Gas,-221.22,Operating Checking,Fuel
2025-05-01,Invoice paid,4738.44,Operating Checking,Sales Income
2025-05-01,Meals,-119.47,Checking,Meals
2025-05-01,Retainer payment,5337.76,Operating Checking,Sales Income
2025-05-01,Rent,-1886.02,Checking,Rent
2025-05-02,Payroll run,-2134.91,Business Checking,Payroll
2025-05-03,Supplies,-458.8,Business Checking,Supplies
2025-05-04,Insurance premium,-443.06,Business Checking,Insurance
2025-05-04,Insurance premium,-636.31,Business Checking,Insurance
2025-05-05,Invoice paid,8573.53,Operating Checking,Sales Income
2025-05-05,Insurance premium,-206.49,Business Checking,Insurance
2025-05-05,Meals,-65.89,Operating Checking,Meals
2025-05-05,Invoice paid,1627.3,Operating Checking,Sales Income
2025-05-06,Insurance premium,-257.04,Business Checking,Insurance
2025-05-06,Project deposit,2994.86,Checking,Sales Income
2025-05-06,Client payment,4297.16,Operating Checking,Sales Income
2025-05-06,Gas,-66.8,Business Checking,Fuel
2025-05-07,Project deposit,8385.07,Business Checking,Sales Income
2025-05-08,Ads spend,-395.07,Checking,Marketing
2025-05-08,Invoice paid,7786.98,Operating Checking,Sales Income
2025-05-08,Ads spend,-353.32,Operating Checking,Marketing
2025-05-08,Cloud services,-229.86,Checking,Hosting
2025-05-09,Invoice paid,8674.14,Checking,Sales Income
2025-05-09,Shop supplies,-68.92,Checking,Supplies
2025-05-09,Fuel,-232.64,Operating Checking,Fuel
2025-05-09,Project deposit,2001.88,Checking,Sales Income
2025-05-09,Ads spend,-432.46,Operating Checking,Marketing
2025-05-09,Wages,-2966.61,Checking,Payroll
2025-05-10,Retainer payment,4818.83,Business Checking,Sales Income
2025-05-10,Marketing,-164.65,Checking,Marketing
2025-05-11,Insurance premium,-464.92,Operating Checking,Insurance
2025-05-11,Team lunch,-67.16,Checking,Meals
2025-05-12,Cloud services,-101.05,Checking,Hosting
2025-05-12,Client payment,7941.15,Business Checking,Sales Income
2025-05-12,Retainer payment,5833.82,Operating Checking,Sales Income
2025-05-12,Ads spend,-105.64,Operating Checking,Marketing
2025-05-13,Invoice paid,8290.59,Operating Checking,Sales Income
2025-05-14,Hosting,-266.68,Checking,Hosting
2025-05-14,Cloud services,-380.06,Business Checking,Hosting
2025-05-14,Marketing,-163.15,Operating Checking,Marketing
2025-05-15,Retainer payment,5552.11,Operating Checking,Sales Income
2025-05-15,Insurance premium,-528.77,Operating Checking,Insurance
2025-05-15,Fuel,-214.91,Business Checking,Fuel
2025-05-15,Gas,-278.25,Operating Checking,Fuel
2025-05-15,Project deposit,3810.26,Checking,Sales Income
2025-05-16,Retainer payment,8748.03,Checking,Sales Income
2025-05-16,Fuel,-56.6,Operating Checking,Fuel
2025-05-16,Wages,-1955.99,Business Checking,Payroll
2025-05-17,Project deposit,5559.59,Checking,Sales Income
2025-05-18,Client payment,5166.21,Operating Checking,Sales Income
2025-05-19,Materials,-571.92,Operating Checking,Supplies
2025-05-19,Supplies,-155.26,Checking,Supplies
2025-05-20,Software subscription,-267.85,Business Checking,Hosting
2025-05-20,Ads spend,-78.31,Business Checking,Marketing
2025-05-21,Project deposit,5365.29,Operating Checking,Sales Income
2025-05-21,Fuel,-214.24,Operating Checking,Fuel
2025-05-21,Retainer payment,3422.44,Checking,Sales Income
2025-05-21,Supplies,-439.68,Operating Checking,Supplies
2025-05-21,Shop supplies,-118.29,Business Checking,Supplies
2025-05-22,Gas,-214.75,Operating Checking,Fuel
2025-05-22,Retainer payment,7269.37,Checking,Sales Income
2025-05-23,Wages,-3650.67,Checking,Payroll
2025-05-23,Cloud services,-317.24,Business Checking,Hosting
2025-05-23,Invoice paid,1854.23,Operating Checking,Sales Income
2025-05-23,Software subscription,-343.22,Checking,Hosting
2025-05-24,Ads spend,-160.51,Checking,Marketing
2025-05-24,Project deposit,8957.3,Checking,Sales Income
2025-05-24,Insurance premium,-161.54,Checking,Insurance
2025-05-24,Materials,-494.6,Checking,Supplies
2025-05-25,Project deposit,8460.44,Checking,Sales Income
2025-05-26,Cloud services,-186.15,Business Checking,Hosting
2025-05-27,Insurance premium,-599.97,Checking,Insurance
2025-05-27,Fuel,-92.15,Business Checking,Fuel
2025-05-27,Client payment,3053.59,Checking,Sales Income
2025-05-27,Team lunch,-115.47,Checking,Meals
2025-05-28,Insurance premium,-618.38,Checking,Insurance
2025-05-29,Project deposit,6412.08,Checking,Sales Income
2025-05-29,Marketing,-452.04,Business Checking,Marketing
2025-05-29,Supplies,-192.48,Business Checking,Supplies
2025-05-29,Gas,-98.75,Checking,Fuel
2025-05-29,Client payment,8636.55,Operating Checking,Sales Income
2025-05-30,Software subscription,-207.58,Business Checking,Hosting
2025-05-30,Team lunch,-32.1,Checking,Meals
2025-05-30,Fuel,-102.22,Operating Checking,Fuel
2025-05-30,Payroll,-3819.99,Business Checking,Payroll
2025-05-31,Marketing,-303.91,Business Checking,Marketing
2025-05-31,Insurance premium,-885.04,Business Checking,Insurance
2025-06-01,Hosting,-169.72,Checking,Hosting
2025-06-01,Cloud services,-177.09,Business Checking,Hosting
2025-06-01,Rent,-1905.52,Checking,Rent
2025-06-01,Insurance premium,-802.36,Operating Checking,Insurance
2025-06-02,Project deposit,2997.98,Operating Checking,Sales Income
2025-06-02,Fuel,-116.64,Business Checking,Fuel
2025-06-03,Marketing,-225.04,Business Checking,Marketing
2025-06-03,Materials,-279.29,Operating Checking,Supplies
2025-06-03,Team lunch,-78.8,Operating Checking,Meals
2025-06-03,Invoice paid,1634.07,Business Checking,Sales Income
2025-06-04,Gas,-55.97,Business Checking,Fuel
2025-06-04,Gas,-104.6,Checking,Fuel
2025-06-04,Project deposit,6182.24,Business Checking,Sales Income
2025-06-04,Retainer payment,4196.24,Checking,Sales Income
2025-06-05,Meals,-114.39,Checking,Meals
2025-06-05,Invoice paid,1966.13,Business Checking,Sales Income
2025-06-05,Fuel,-184.01,Checking,Fuel
2025-06-05,Retainer payment,5840.18,Checking,Sales Income
2025-06-05,Team lunch,-108.17,Business Checking,Meals
2025-06-06,Client payment,3691.53,Business Checking,Sales Income
2025-06-06,Retainer payment,2157.14,Operating Checking,Sales Income
2025-06-06,Payroll run,-2069.09,Business Checking,Payroll
2025-06-07,Ads spend,-292.69,Business Checking,Marketing
2025-06-07,Client payment,2832.27,Checking,Sales Income
2025-06-08,Invoice paid,6022.35,Business Checking,Sales Income
2025-06-08,Insurance premium,-471.46,Operating Checking,Insurance
2025-06-09,Team lunch,-149.6,Checking,Meals
2025-06-09,Hosting,-117.2,Operating Checking,Hosting
2025-06-10,Gas,-200.73,Operating Checking,Fuel
2025-06-10,Cloud services,-341.9,Business Checking,Hosting
2025-06-10,Shop supplies,-390.86,Business Checking,Supplies
2025-06-11,Supplies,-431.52,Operating Checking,Supplies
2025-06-11,Marketing,-196.36,Checking,Marketing
2025-06-11,Retainer payment,5097.39,Business Checking,Sales Income
2025-06-11,Client payment,1990.99,Checking,Sales Income
2025-06-12,Retainer payment,5589.22,Operating Checking,Sales Income
2025-06-12,Insurance premium,-809.72,Business Checking,Insurance
2025-06-12,Insurance premium,-647.95,Checking,Insurance
2025-06-13,Supplies,-246.38,Checking,Supplies
2025-06-13,Invoice paid,3345.08,Operating Checking,Sales Income
2025-06-13,Invoice paid,2154.17,Checking,Sales Income
2025-06-13,Payroll run,-2916.29,Checking,Payroll
2025-06-14,Software subscription,-155.45,Business Checking,Hosting
2025-06-14,Gas,-61.35,Business Checking,Fuel
2025-06-15,Marketing,-680.58,Checking,Marketing
2025-06-15,Client payment,6994.56,Checking,Sales Income
2025-06-17,Team lunch,-44.81,Business Checking,Meals
2025-06-17,Team lunch,-18.0,Business Checking,Meals
2025-06-17,Retainer payment,4470.27,Operating Checking,Sales Income
2025-06-18,Hosting,-301.31,Operating Checking,Hosting
2025-06-18,Insurance premium,-447.94,Operating Checking,Insurance
2025-06-18,Ads spend,-141.98,Business Checking,Marketing
2025-06-18,Invoice paid,7927.13,Operating Checking,Sales Income
2025-06-19,Client payment,2777.0,Operating Checking,Sales Income
2025-06-20,Payroll,-2293.91,Checking,Payroll
2025-06-20,Retainer payment,7716.6,Checking,Sales Income
2025-06-21,Gas,-254.2,Checking,Fuel
2025-06-22,Insurance premium,-786.61,Business Checking,Insurance
2025-06-22,Project deposit,1421.58,Operating Checking,Sales Income
2025-06-22,Cloud services,-101.99,Business Checking,Hosting
2025-06-22,Ads spend,-360.1,Operating Checking,Marketing
2025-06-23,Shop supplies,-479.17,Operating Checking,Supplies
2025-06-23,Project deposit,5023.95,Business Checking,Sales Income
2025-06-23,Fuel,-159.5,Operating Checking,Fuel
2025-06-23,Retainer payment,3105.98,Business Checking,Sales Income
2025-06-23,Insurance premium,-364.89,Checking,Insurance
2025-06-24,Client payment,3897.74,Checking,Sales Income
2025-06-24,Cloud services,-203.17,Business Checking,Hosting
2025-06-24,Fuel,-211.56,Business Checking,Fuel
2025-06-24,Project deposit,1353.18,Operating Checking,Sales Income
2025-06-24,Marketing,-233.81,Checking,Marketing
2025-06-25,Insurance premium,-803.41,Business Checking,Insurance
2025-06-25,Gas,-253.63,Checking,Fuel
2025-06-25,Shop supplies,-336.24,Checking,Supplies
2025-06-25,Retainer payment,4641.35,Business Checking,Sales Income
2025-06-26,Team lunch,-29.78,Business Checking,Meals
2025-06-26,Insurance premium,-680.66,Operating Checking,Insurance
2025-06-26,Client payment,6673.22,Business Checking,Sales Income
2025-06-27,Team lunch,-21.13,Checking,Meals
2025-06-27,Invoice paid,6848.06,Checking,Sales Income
2025-06-27,Retainer payment,5495.76,Checking,Sales Income
2025-06-27,Wages,-2361.39,Business Checking,Payroll
2025-06-29,Invoice paid,3282.12,Operating Checking,Sales Income
2025-06-30,Invoice paid,1517.21,Business Checking,Sales Income
2025-06-30,Project deposit,2535.54,Business Checking,Sales Income
